ID,GR,DEEP_RES,DENS,SP
144,33.0807,62.2376,2.3109,59.4531
145,32.9095,48.3545,2.3131,60
146,29.8839,56.4236,2.3409,60
147,31.9106,82.6376,2.3453,59.6875
148,36.0205,44.5167,2.3483,57.7344
149,36.1918,43.8079,2.3328,57.5
150,31.5679,49.6162,2.3504,56.5625
151,30.4547,52.1092,2.3708,56.5625
152,26.0591,54.6041,2.3564,57.3438
153,26.5445,27.6967,2.3532,59.8438
154,27.4292,20.9029,2.4393,63.3594
155,28.7421,25.6487,2.4281,66.0156
156,30.4836,34.136,2.3202,66.6406
157,33.3663,44.6462,2.3078,66.4063
158,36.363,101.2077,2.3296,65.5469
159,35.621,165.1178,2.3152,63.75
160,36.1347,116.4507,2.2977,62.0313
161,34.2509,79.1394,2.2865,59.8438
162,29.2275,77.6524,2.3123,63.9063
163,29.313,79.2693,2.3007,64.8438
164,29.6555,68.1929,2.2954,64.1964
165,29.0277,61.6312,2.3092,63.9063
166,26.4301,64.7292,2.2961,63.75
167,25.574,73.9927,2.2825,63.125
168,28.8564,90.9776,2.3056,63.4375
169,24.4321,105.9504,2.3092,63.8281
170,32.0246,78.9177,2.3385,63.9844
171,30.1693,78.2454,2.3334,63.75
172,29.3131,83.6856,2.3308,63.75
173,23.5192,84.5994,2.3427,63.8281
174,24.4895,92.4495,2.3185,63.4375
175,26.4587,103.2703,2.2929,63.0469
176,23.6902,85.5638,2.2947,62.5
177,28.7706,70.0542,2.3014,62.5
178,30.3121,70.1207,2.3035,61.7969
179,36.306,88.058,2.3189,61.25
180,37.7332,130.8379,2.3293,61.4844
181,31.8818,53.9445,2.3313,60
182,33.8514,30.4248,2.3333,59.375
183,34.7649,59.4053,2.3143,55.9375
184,34.5077,26.6029,2.3261,52.8906
185,29.941,20.8816,2.431,49.8438
186,33.4803,37.7301,2.4174,47.8906
187,38.5895,79.3805,2.3202,44.7656
188,38.9603,135.727,2.3231,44.4531
189,43.2705,116.6993,2.3173,50.4688
190,46.8098,71.6358,2.3056,50.7031
191,36.8768,60.5804,2.3472,51.25
192,32.9379,67.2658,2.3523,51.875
193,34.0513,76.6115,2.3254,52.1875
194,39.7599,83.6061,2.2876,53.125
195,35.307,100.3517,2.3186,54.6094
196,37.048,127.1665,2.321,55.5469
197,35.7067,143.165,2.328,56.5625
198,38.5607,140.057,2.3455,57.0313
199,38.6179,124.1964,2.3628,57.5
200,43.1563,73.0546,2.3763,58.125
201,43.3275,81.7052,2.3871,58.75
202,41.1011,92.7139,2.3735,58.75
203,43.8126,126.2275,2.3847,59.375
204,44.5264,150.7489,2.3832,59.4531
205,43.2705,110.6266,2.4055,60.0781
206,43.984,81.4304,2.4266,60
207,46.0673,61.9667,2.446,60
208,37.4192,55.9687,2.4264,60
209,36.9056,47.0362,2.3846,60.2344
210,41.5291,36.5771,2.4292,60.7031
211,40.2733,34.9879,2.4445,60.625
212,37.5618,39.2653,2.4389,60.3125
213,42.6708,53.6315,2.4317,60.3906
214,42.2142,69.8182,2.4489,62.1875
215,48.4651,38.3171,2.3647,64.9219
216,53.4316,15.4731,2.2509,68.8281
217,49.7777,28.9684,2.1013,73.125
218,59.1114,33.2675,2.0834,73.6719
219,63.5928,82.1299,2.0699,74.9219
220,55.0011,120.9286,2.0536,75.8594
221,68.1307,67.0816,2.0321,74.8438
222,63.3643,51.9725,2.0165,75
223,74.353,65.6418,2.0881,75.8594
224,81.8884,94.951,2.1543,76.3281
225,79.8048,131.3925,2.1536,77.0313
226,73.2115,122.1848,2.1191,77.0313
227,75.4947,88.7064,2.1179,77.1094
228,81.8022,70.462,2.1362,77.1875
229,78.5768,69.1098,2.1528,77.1094
230,79.2908,81.2386,2.1406,75.625
231,73.9249,117.9433,2.0715,74.375
232,80.747,73.536,2.1014,75.2344
233,92.9341,64.3389,2.0989,76.0156
234,94.0754,63.4314,2.1113,76.25
235,94.5039,75.2722,2.1341,75.7031
236,83.03,111.5508,2.1285,75.0781
237,74.6958,150.3088,2.1365,75.625
238,83.9718,131.2147,2.1586,75.7813
239,102.6386,73.5507,2.1458,76.25
240,98.0714,59.727,2.1593,75.8594
241,92.3632,51.7265,2.1371,75.0781
242,82.0306,44.1503,2.1178,75
243,78.7486,40.845,2.1335,74.375
244,77.2361,42.3302,2.126,73.75
245,81.6889,48.5775,2.1329,73.2813
246,78.3205,86.1284,2.1798,71.875
247,82.0882,55.1902,2.1439,58.125
248,89.2806,124.6323,2.1323,58.125
249,91.4212,165.4568,2.1565,58.125
250,71.2706,93.7357,2.1471,57.8125
251,64.1635,59.347,2.1513,56.875
252,75.4662,54.3733,2.1645,56.7969
253,87.1115,70.2782,2.1711,58.125
254,86.7689,87.1482,2.1761,58.125
255,81.5739,74.8237,2.2258,58.0469
256,94.6185,55.9287,2.2465,58.3594
257,108.1182,53.1036,2.2257,59.6094
258,105.5499,71.5126,2.2158,59.7656
259,91.9918,87.3356,2.2034,59.375
260,102.382,92.8605,2.1946,58.8281
261,94.59,93.7367,2.1962,58.3594
262,100.441,83.3458,2.206,57.8906
263,89.0241,60.3348,2.191,58.125
264,80.6608,40.0508,2.1659,57.8125
265,77.8065,36.8587,2.1264,57.7344
266,101.0401,50.321,2.1124,57.7344
267,110.8304,90.5172,2.1291,58.125
268,94.3897,137.424,2.1451,58.125
269,79.9469,98.9658,2.1585,57.5
270,78.9194,60.4382,2.1667,56.0156
271,82.8871,41.8093,2.1413,54.5313
272,87.3973,36.9571,2.1419,53.4375
273,84.3712,40.6289,2.1379,53.125
274,89.0238,45.5947,2.1359,53.0469
275,83.1726,60.167,2.1458,53.2813
276,79.8903,52.5787,2.1415,53.2813
277,90.7078,64.5576,2.1265,51.4844
278,89.5379,42.8793,2.1328,50.625
279,71.6702,30.3045,2.1848,51.1719
280,69.6722,19.4045,2.2922,51.9531
281,67.2459,30.5033,2.2348,51.25
282,61.3377,29.6368,2.0753,51.25
283,54.4019,41.5818,2.1109,51.25
284,53.9451,81.5007,2.1251,52.3438
285,49.2071,103.3013,2.1423,54.6094
286,50.0634,51.3963,2.1717,57.5
287,44.5261,49.6361,2.1711,57.7344
288,55.4008,61.9462,2.1545,57.8125
289,55.3439,88.8321,2.1289,57.5781
290,52.2327,97.4406,2.141,57.8125
291,54.5732,81.1169,2.127,57.9688
292,50.4918,66.88,2.1326,58.4375
293,51.4335,54.6162,2.0904,59.0625
294,58.7342,44.0931,2.1075,59.4444
295,61.2237,39.8221,2.148,60
296,62.7362,50.4116,2.1553,60
297,58.7118,95.027,2.1324,60
298,56.1712,215.3689,2.1811,60.5556
299,56.771,248.8003,2.2211,61.25
300,47.152,158.2208,2.1889,61.7188
301,36.8766,106.6813,2.1786,61.4063
302,41.0721,76.7328,2.1809,61.1719
303,43.5555,56.8112,2.1909,60.7813
304,50.3486,48.4793,2.2212,60.2344
305,57.3704,42.0286,2.2323,61.25
306,67.1318,40.1786,2.2487,61.25
307,70.8138,41.1178,2.2473,61.4063
308,63.8211,39.6817,2.2416,61.25
309,59.9389,33.4872,2.2143,61.25
310,43.4703,28.8177,2.1177,60.8594
311,41.3579,57.6193,2.1115,60.625
312,47.152,60.9169,2.1144,59.8438
313,46.296,29.1616,2.1002,59.375
314,42.8138,10.9077,2.1757,59.6094
315,36.8483,27.33,2.1183,61.7188
316,34.6048,21.6919,2.0816,63.5156
317,38.0904,55.2495,2.1031,64.375
318,38.9605,102.8656,2.1085,64.375
319,47.2662,120.2499,2.0966,63.75
320,56.2571,88.7942,2.1377,63.1944
321,65.4478,79.67,2.1863,62.5
322,70.4999,87.0834,2.206,62.4219
323,65.9903,85.6536,2.1832,62.1875
324,49.6065,74.8603,2.152,62.5694
325,45.8107,66.3756,2.1404,62.5
326,48.408,58.8388,2.1435,62.5
327,47.0667,67.4616,2.1477,62.9688
328,51.4622,80.5146,2.1568,63.125
329,59.2824,74.9101,2.1626,63.125
330,62.879,61.4161,2.2024,62.5
331,77.4356,55.5822,2.2157,62.5
332,83.3153,51.1552,2.2152,61.875
333,86.3125,54.4055,2.1518,62.2656
334,77.2358,67.5173,2.1239,62.6389
335,76.1226,77.3179,2.143,63.4722
336,68.5048,83.7457,2.1478,63.75
337,76.6111,78.3623,2.1546,64.375
338,89.3098,69.0674,2.1859,64.6094
339,94.0189,65.9956,2.1715,64.2188
340,79.2339,65.321,2.1858,63.75
341,86.0272,55.4302,2.1526,63.5938
342,95.6457,47.5694,2.1591,63.125
343,88.5098,41.0472,2.1284,63.2639
344,86.3695,32.3052,2.17,63.5938
345,88.4528,44.9801,2.2058,63.75
346,86.1127,78.9026,2.208,63.75
347,79.2623,52.725,2.2212,64.0278
348,75.2669,31.6335,2.2188,64.375
349,70.1291,13.3725,2.3199,65.7639
350,66.39,28.62,2.3488,67.2656
351,81.0607,36.7669,2.2223,67.0833
352,84.143,115.9523,2.1986,68.75
353,80.233,247.4764,2.1769,67.8472
354,68.388,217.6767,2.1503,67.5
355,61.1664,112.6708,2.137,67.2656
356,47.923,70.0488,2.1487,67.0313
357,44.8973,50.2192,2.1223,66.875
358,40.7016,44.7889,2.1226,67.2656
359,40.7016,44.7889,2.1226,67.2656
360,36.4772,58.3709,2.1261,67.5
361,35.8781,68.0628,2.1456,67.2917
362,36.0776,60.5264,2.1476,66.9531
363,48.3222,65.9738,2.1439,67.5
364,63.1073,73.9243,2.1626,67.5
365,67.3032,70.4095,2.1568,67.1528
366,87.5967,57.1196,2.1125,66.4063
367,91.1928,73.1983,2.1011,66.875
368,86.9403,73.5955,2.1162,67.5
369,98.2143,79.2859,2.0893,67.5694
370,95.2174,94.3744,2.065,67.4219
371,96.7304,93.5163,2.0785,67.5
372,96.0739,76.016,2.102,67.5
373,93.1623,66.5767,2.1311,67.6563
374,83.8287,46.3838,2.1503,66.6406
375,82.9156,45.2739,2.1511,66.4844
376,80.0327,42.4857,2.171,66.4063
377,86.6265,42.4347,2.1861,66.1719
378,84.6854,52.5268,2.1983,65.625
379,87.0546,68.2606,2.2061,65.625
380,83.8579,105.3844,2.2188,65
381,80.3185,93.4806,2.2131,63.5938
382,77.4067,21.6246,2.2768,57.5
383,70.5286,24.3731,2.3122,52.3438
384,74.7241,32.2787,2.2008,50.625
385,77.0074,36.0202,2.1461,50
386,85.1704,125.4466,2.189,49.6875
387,90.1652,135.5411,2.2174,49.7656
388,90.3938,125.0759,2.2256,50
389,93.1913,137.2375,2.2184,50.1563
390,84.3142,135.8228,2.2132,50.3906
391,83.972,114.4021,2.1922,50.625
392,74.1822,100.7641,2.1576,50.4688
393,79.7197,91.1049,2.1176,50.8594
394,80.29,83.7386,2.1242,51.7969
395,77.8068,92.4417,2.2103,52.1528
396,81.0608,106.1806,2.29,52.8906
397,85.5702,117.8199,2.2874,53.4375
398,83.7433,121.3067,2.3078,53.125
399,88.5957,117.6634,2.324,52.6563
400,92.5916,115.9321,2.3464,53.125
401,99.7845,115.0327,2.3525,53.4375
402,95.5887,110.9631,2.3324,53.3594
403,88.8241,110.6643,2.3244,52.9688
404,93.3903,132.509,2.3531,53.125
405,90.993,218.0639,2.3608,52.6563
406,89.9083,456.0904,2.3317,52.4306
407,86.683,489.0874,2.2335,52.3438
408,81.8028,220.4013,2.1434,52.5
409,91.7071,78.9918,2.2282,50.625
410,92.3062,72.8145,2.2436,50.1563
411,99.0417,73.702,2.2281,50
412,87.1399,67.2046,2.1871,49.9219
413,84.2004,64.7971,2.1895,50
414,88.567,58.1179,2.2064,49.375
415,89.5377,89.6796,2.2423,48.8281
416,86.5692,80.4376,2.2677,47.8906
417,95.3321,42.8834,2.2834,47.5
418,80.4898,23.029,2.3842,48.125
419,80.29,39.9185,2.3656,47.5
420,93.6764,54.9473,2.2338,46.6406
421,81.2889,116.191,2.2047,46.25
422,82.4879,267.8798,2.221,45.0781
423,82.0595,281.2953,2.2205,45
424,81.1745,125.881,2.2105,45.9375
425,80.2901,67.6013,2.2243,46.3281
426,80.0329,54.3762,2.2371,47.7344
427,76.5507,65.9007,2.224,49.2188
428,79.5476,89.7367,2.1829,49.8438
429,84.058,146.4976,2.2108,50.625
430,89.2525,292.2969,2.2469,51.1719
431,85.7982,518.5858,2.2665,50.7813
432,92.6768,361.2894,2.3042,51.25
433,107.0628,189.5276,2.324,51.875
434,97.3301,95.0387,2.3028,53.125
435,84.8563,84.8876,2.2857,53.3594
436,89.0522,91.6957,2.2754,53.4375
437,103.6376,134.4043,2.2439,52.9688
438,92.9055,250.0455,2.2582,53.125
439,86.8834,325.0615,2.3011,52.7344
440,89.8802,249.4181,2.3208,53.125
441,79.0053,206.9434,2.2833,54.1406
442,98.4428,178.3474,2.2806,53.75
443,104.3514,106.0196,2.2643,53.5417
444,79.6619,37.5374,2.2397,53.3594
445,78.2639,34.0464,2.2116,53.125
446,75.8085,38.5344,2.2079,53.5156
447,77.5211,76.5504,2.1781,53.5156
448,80.1755,84.1404,2.2032,54.2361
449,81.574,38.5235,2.2556,56.6406
450,79.4049,15.3066,2.3256,60.8594
451,72.2982,29.9266,2.3191,63.6719
452,80.8897,50.2091,2.2012,64.2361
453,86.2269,69.7433,2.1636,64.375
454,83.4578,270.8589,2.1302,64.375
455,80.2611,217.0602,2.1422,64.375
456,78.5487,140.6206,2.1287,64.9219
457,89.652,81.6578,2.2096,66.875
458,87.1401,58.0124,2.2134,66.875
459,85.5702,64.3818,2.1931,66.875
460,80.1759,72.9539,2.1802,67.4306
461,81.5173,72.4522,2.2236,67.5781
462,82.887,84.601,2.2279,67.8906
463,85.0851,100.6761,2.2216,67.9167
464,95.6171,109.772,2.2259,67.6563
465,96.5877,107.7047,2.2217,66.875
466,97.7866,60.3857,2.207,65.625
467,88.425,48.762,2.1888,65.2344
468,83.0872,91.7599,2.2114,65.8594
469,82.3165,84.5366,2.2334,66.25
470,85.6562,54.5632,2.2479,65.7813
471,86.8548,40.0406,2.2333,65.625
472,94.3043,45.11,2.2194,65.625
473,97.672,51.1845,2.2225,65.3906
474,86.6834,80.4934,2.2215,65.625
475,79.4339,109.2518,2.2245,64.6875
476,74.6386,62.7845,2.2065,63.9844
477,81.3464,40.023,2.2055,63.2031
478,78.3779,26.5767,2.2038,62.5
479,80.3755,39.8129,2.2169,61.7188
480,81.175,69.9018,2.227,59.6528
481,84.343,49.5291,2.2401,56.7969
482,77.9492,17.9929,2.3222,52.5781
483,82.3165,19.0702,2.3951,47.6563
484,98.5572,28.1443,2.3603,46.1719
485,86.6263,32.8053,2.302,46.25
486,86.1124,174.3959,2.3068,47.1094
487,99.4988,261.1565,2.2822,48.2031
488,88.6811,83.596,2.2645,49.0625
489,86.8833,50.6258,2.2542,48.75
490,87.7393,38.77,2.2406,48.9844
491,77.7492,38.8138,2.2073,48.75
492,73.8963,41.6763,2.2133,48.6111
493,83.116,65.66,2.2225,48.0469
494,92.7349,121.1381,2.2389,47.0313
495,91.7928,206.6022,2.2578,46.7188
496,85.5988,131.247,2.2803,46.25
497,87.9102,62.2777,2.2901,46.25
498,77.521,43.0424,2.2711,46.7188
499,75.1239,72.0631,2.2597,46.9531
500,71.1281,95.8951,2.2666,46.5625
501,74.2675,68.2315,2.2724,46.4063
502,75.2663,40.6793,2.2757,47.5
503,79.0627,42.9151,2.2746,47.5
504,78.0636,48.3637,2.2569,46.9531
505,71.7558,54.3468,2.2471,46.5625
506,82.3447,66.0341,2.2493,46.25
507,81.0036,51.9629,2.2471,45.2344
508,76.6081,35.0214,2.2266,44.4444
509,77.4644,27.6824,2.2383,44.375
510,83.1159,29.1814,2.2335,44.375
511,76.7221,28.9027,2.2252,45
512,81.2324,51.9604,2.236,45
513,76.8364,38.0262,2.2557,45.625
514,70.3855,16.7119,2.2993,45.7813
515,70.5283,11.3787,2.3544,46.7188
516,77.2645,25.2974,2.2582,46.6667
517,84.9137,22.5294,2.1825,46.4844
518,84.5714,36.7427,2.1837,46.875
519,83.886,146.7104,2.1538,49.1406
520,77.7212,129.6158,2.16,49.375
521,84.2571,31.944,2.2046,50
522,81.1462,37.4701,2.2027,50
523,75.3524,32.7005,2.2058,49.375
524,74.096,43.6675,2.2014,49.375
525,73.4398,73.989,2.2278,49.375
526,87.6257,75.0743,2.2724,50
527,81.517,47.8808,2.2674,49.375
528,78.0352,38.1076,2.2434,49.375
529,79.0627,47.1814,2.2277,50
530,84.0575,38.1173,2.2105,50.1563
531,85.913,36.8262,2.2147,49.375
532,89.7659,35.9364,2.186,48.2031
533,89.1668,39.7697,2.1684,48.8889
534,76.7794,49.369,2.147,49.7656
535,75.8944,70.3192,2.148,49.375
536,84.4855,64.084,2.1654,48.8194
537,90.7937,46.9063,2.1698,48.75
538,82.5731,36.549,2.1588,48.75
539,79.1486,33.5504,2.1645,48.5156
540,79.9471,36.5517,2.1818,48.75
541,96.0449,38.289,2.1995,49.4531
542,86.2265,60.5246,2.1984,50.4167
543,81.0321,104.8189,2.2043,52.1094
544,81.3462,96.5685,2.2398,55
545,82.4305,57.927,2.3273,58.4375
546,74.2386,62.8431,2.3637,61.7361
547,84.1147,75.2305,2.2543,61.7188
548,85.2277,80.59,2.2355,61.1806
549,90.4227,215.034,2.2303,60.0694
550,85.0563,342.8838,2.241,58.9063
551,85.8553,328.9129,2.2519,57.7083
552,81.5175,221.8115,2.2312,56.7969
553,80.8321,91.4247,2.181,60.625
554,78.7204,80.9145,2.1722,60.625
555,79.5191,81.7371,2.1821,60
556,84.9138,98.3795,2.158,60
557,69.872,208.4288,2.1701,61.25
558,77.9495,127.6628,2.1227,60.9375
559,75.4947,93.1073,2.1424,59.375
560,85.3136,92.46,2.1346,58.75
561,98.4147,95.6297,2.1485,60.0781
562,97.1873,102.3993,2.1498,61.25
563,82.7445,97.173,2.1502,61.5625
564,80.4326,78.9474,2.1728,61.4063
565,80.575,74.3072,2.1687,61.875
566,79.3482,108.9971,2.1561,62.1094
567,74.7526,129.1865,2.1481,61.875
568,76.6652,111.2924,2.143,61.1719
569,74.8097,77.2556,2.1391,60.9722
570,71.8696,58.7486,2.1337,60.8594
571,77.6357,73.9701,2.144,60.1563
572,74.8383,116.4067,2.1864,59.2969
573,65.9901,159.4589,2.161,58.0556
574,72.6119,144.9258,2.1553,57.7344
575,78.4629,77.6319,2.1787,57.4219
576,67.8457,38.6019,2.2562,56.6667
577,70.5568,45.2435,2.3004,55.2344
578,80.0327,48.7458,2.2078,55.4688
579,93.7905,63.2377,2.1813,55.8594
580,89.5947,124.8022,2.1696,56.25
581,76.4369,206.1305,2.1701,55.7813
582,78.8627,162.6165,2.1439,55
583,89.8229,99.25,2.1383,54.375
584,92.8197,110.8848,2.1541,54.9219
585,88.5098,127.1788,2.1659,55.0694
586,90.1656,113.4792,2.1723,55.3906
587,85.9416,98.6003,2.1715,55.0781
588,80.1761,98.2898,2.1827,55.0781
589,81.7744,98.804,2.2066,55.8333
590,89.9662,100.813,2.2059,56.7188
591,91.1932,117.2965,2.1926,58.125
592,82.8588,107.2352,2.194,57.8906
593,78.8342,109.0905,2.1837,58.0469
594,83.23,135.7064,2.1828,58.0469
595,80.4041,167.4542,2.1838,56.875
596,85.3987,147.3907,2.1784,56.25
597,80.4038,110.508,2.1632,55.7639
598,80.7752,95.9928,2.146,55.7031
599,87.7105,97.9742,2.1286,56.25
600,96.1883,114.9379,2.1405,56.1719
601,85.3418,148.1035,2.1757,55.3472
602,77.2645,164.5398,2.1805,54.9219
603,83.5438,137.7013,2.1782,55.8594
604,87.8538,99.5314,2.1761,56.25
605,90.2227,53.6307,2.177,55.625
606,78.6626,57.7466,2.1759,55
607,78.5774,64.2702,2.1942,54.9219
608,84.2857,78.2716,2.1983,56.25
609,84.2858,91.7937,2.1901,56.3281
610,89.1953,50.5272,2.2209,57.0313
611,72.6977,25.7804,2.3451,58.9063
612,63.821,27.3283,2.3962,60.4688
613,72.4117,34.9347,2.2553,60.3906
614,74.6954,50.0841,2.1755,60.3125
615,76.8366,114.3145,2.1758,60
616,76.3799,312.6026,2.1611,59.7656
617,76.2654,318.7246,2.1638,60.4167
618,77.8066,149.6304,2.1782,61.25
619,81.7169,85.1297,2.1259,61.875
620,87.1118,84.4874,2.159,61.25
621,77.5213,83.1952,2.1621,60.625
622,72.3265,92.0633,2.1608,60.3125
623,74.2391,113.8411,2.169,60.2083
624,78.6342,138.5954,2.1463,59.8438
625,69.8434,134.5968,2.1466,59.375
626,76.1514,121.5998,2.1578,59.2188
627,80.6038,136.9411,2.175,58.9844
628,76.4366,208.0832,2.1872,58.125
629,72.5837,364.8712,2.1981,59.375
630,84.1717,386.0539,2.1771,58.9844
631,80.0047,190.574,2.155,58.5156
632,80.9744,175.4438,2.2108,57.9688
633,79.2337,148.907,2.2232,59.4531
634,88.2245,112.2114,2.2164,59.2969
635,82.7732,91.6472,2.2082,58.9063
636,73.8964,87.3302,2.204,58.5938
637,72.6975,91.0446,2.1875,58.75
638,76.4367,87.0908,2.2022,58.75
639,86.6263,77.9042,2.2212,58.2813
640,84.8566,73.3487,2.2071,57.9688
641,85.7703,60.6954,2.2179,56.25
642,76.0655,90.6704,2.1956,56.0156
643,67.3886,92.7507,2.2115,56.0417
644,72.3836,38.1919,2.2073,55.625
645,82.2593,15.2122,2.2447,55.625
646,81.4891,25.8934,2.2756,54.6094
647,91.6212,37.295,2.1793,55.5469
648,94.6755,47.6749,2.1478,55.4688
649,98.7283,110.3783,2.1681,54.6875
650,116.2816,131.2608,2.1867,53.75
651,103.8659,84.685,2.1673,53.75
652,98.3855,77.4781,2.1599,53.6719
653,101.183,82.7266,2.1839,53.75
654,92.9628,86.7754,2.1665,53.75
655,94.9893,77.3077,2.1725,53.75
656,85.2272,62.4209,2.1707,53.6806
657,84.6856,64.2216,2.1769,53.125
658,106.2632,79.2818,2.1873,53.125
