ID,Rop,Wob,Hookload,TempOut,TempIn,PumpPres,SurfTorq,Rpm,FlowIn
184,75.13,8.14,72.26,101.91,100.82,453.81,11.45,0,1046.26
185,90.63,31.25,49.15,102.03,100.78,453.04,11.53,0,1044.43
186,92.46,13.18,67.23,102.18,100.82,450.76,11.56,0,1043.62
187,116.31,27.28,53.12,102.48,100.86,452.28,11.75,0,1044.23
188,133.81,35.74,44.66,102.64,100.86,456.86,11.75,0,1048.3
189,109.47,23.54,56.86,102.83,100.9,451.52,11.75,0,1047.07
190,115.9,10.35,70.05,102.9,100.97,451.14,11.72,0,1044.23
191,256.66,9.21,71.19,102.94,100.94,451.14,11.72,0,1046.26
192,109.37,5.93,74.47,103.02,101.01,452.28,11.75,0,1045.86
193,309.87,6.92,73.48,103.09,101.05,445.42,11.72,0,1040.36
194,201.65,4.02,76.38,103.17,101.09,451.14,11.72,0,1042.4
195,400.65,20.88,59.52,103.21,101.09,449.99,11.75,0,1042.2
196,262.93,10.58,69.82,103.21,101.13,450.76,11.75,0,1043.01
197,208.45,13.63,66.77,103.25,101.17,452.66,11.79,0,1045.04
198,106.06,15.84,64.56,103.32,101.24,453.04,11.83,0,1044.43
199,81.23,11.8,68.6,103.44,101.43,448.09,11.98,0,1044.64
200,93.82,23.01,57.39,103.51,101.55,451.9,12.14,0,1040.57
201,111.89,32.85,47.55,103.55,101.7,449.99,12.21,0,1038.74
202,52.71,24.54,55.86,103.59,101.85,447.33,12.25,0,1039.14
203,78.11,22.32,58.08,103.59,101.93,447.33,12.36,0,1038.73
204,124.84,19.12,61.28,103.59,102.04,453.43,12.36,0,1044.03
205,69.09,8.68,71.72,104.5,104.1,448.09,14.69,0,1013.11
206,258,2.5,77.9,104.66,104.06,443.89,14.84,0,1011.68
207,205,19.81,60.59,104.77,104.06,446.94,14.99,0,1015.75
208,70.36,2.58,77.82,105.11,103.95,446.94,15.26,0,1016.77
209,73.45,4.02,76.38,105.31,103.87,448.09,15.57,0,1014.53
210,246.01,11.65,68.75,105.38,103.87,445.04,15.53,0,1010.26
211,147.59,4.18,76.22,105.46,103.87,446.18,15.61,0,1010.47
212,159.23,11.57,68.83,105.57,103.91,448.09,15.53,0,1009.45
213,150,11.8,68.6,105.65,103.87,442.75,15.45,0,1009.24
214,114.53,5.55,74.85,105.72,103.87,441.61,15.3,0,1004.97
215,230.63,26.9,53.5,105.76,103.91,437.41,15.22,0,1003.14
216,34.62,4.63,75.77,105.95,104.02,434.36,15.41,0,1008.64
217,297.68,11.5,68.9,105.99,104.02,439.32,15.34,0,1008.03
218,219.99,13.48,66.92,106.11,104.52,435.89,15.26,0,1000.91
219,87.9,7,73.4,106.07,104.56,437.79,15.26,0,1000.3
220,514.29,0.9,79.5,106.26,105.36,403.1,14.65,0,948.09
221,361.31,8.42,51.98,103.48,104.63,464.48,6.91,207.23,1045.8
222,496.77,9.11,51.29,103.51,104.63,459.14,6.91,218.25,1045.39
223,309.6,0,61.81,103.63,104.6,464.1,6.87,263.26,1043.34
224,518.39,4.38,56.02,103.7,104.6,464.86,6.91,263.84,1048.26
225,604.82,4.46,55.94,103.74,104.56,463.34,6.87,264.94,1048.25
226,794.88,0,61.35,103.82,104.48,460.67,6.87,100.58,1048.46
227,863.99,10.56,49.84,103.82,104.52,466.01,6.87,109.68,1044.77
228,794.88,6.29,54.11,103.86,104.52,462.19,6.87,271.58,1043.14
229,719.99,24.97,35.43,103.89,104.52,461.05,6.87,92.26,1042.73
230,499.18,26.42,33.98,103.93,104.52,467.91,6.87,89.18,1044.77
231,124.19,1.1,59.3,104.12,104.41,461.43,6.8,87.95,1043.34
232,451.2,16.89,43.51,104.16,104.48,464.48,6.8,71.04,1043.55
233,431.98,28.56,31.85,104.2,104.44,469.06,6.84,74.19,1046.61
234,2977.91,0,75.31,106.03,105.05,461.43,6.8,62.71,1044.57
235,310.21,0,60.44,105.99,105.02,453.81,6.76,68.02,1046
236,133.82,3.62,56.78,106.22,105.05,460.29,6.8,98.08,1042.11
237,374.41,23.45,36.95,106.26,105.05,466.39,6.84,80.28,1045.58
238,75.84,27.38,57.62,101.3,104.33,225.06,4.66,41.31,737.26
239,106.36,3.13,81.87,102.29,104.18,319.99,4.74,49.12,845.36
240,97.97,12.67,72.33,102.71,104.14,326.85,4.74,46.87,852.73
241,34.62,4.96,80.04,103.48,104.18,325.71,4.78,72.99,860.52
242,127.55,20.29,64.71,103.4,104.22,324.56,4.74,93.46,858.27
243,128.38,20.6,64.4,103.48,104.22,326.09,4.74,88,860.11
244,98.48,27.31,57.69,103.55,104.22,327.23,4.74,84.25,862.77
245,82.81,18.99,66.01,103.93,104.22,326.85,4.78,81.56,860.92
246,111.83,13.89,71.11,104.05,104.25,327.99,4.78,73.9,861.34
247,100,6.34,78.66,104.05,104.22,327.61,4.74,79.27,864.4
248,87,0,82.55,104.28,104.67,316.56,4.7,76.1,828.1
249,42.94,7.32,75.23,104.39,104.63,336.76,4.7,114.54,852.3
250,77.91,13.27,69.28,104.77,104.63,337.91,4.66,84.64,853.73
251,112.24,12.96,69.59,104.73,104.63,338.67,4.7,111.16,855.16
252,133.56,16.7,65.85,104.73,104.63,337.91,4.7,102.8,851.48
253,165.57,17.23,65.32,104.73,104.67,336.38,4.7,88.36,851.27
254,169.22,2.52,80.04,104.66,104.67,341.72,4.7,122.9,852.3
255,249.3,13.73,68.83,104.73,104.67,336.38,4.74,111.95,848.82
256,140.9,18.38,64.18,104.73,104.67,340.58,4.7,109.6,853.93
257,186.98,18.15,64.4,104.81,104.71,337.91,4.7,115.34,848
258,169.23,13.57,68.98,104.85,104.71,339.81,4.7,100.11,851.07
259,126.32,7.47,75.08,104.81,104.75,338.29,4.7,89.28,852.91
260,95.4,15.02,67.53,104.89,104.86,339.81,4.74,72.96,852.91
261,96.41,6.48,76.07,104.85,104.83,341.72,4.7,78.88,853.32
262,95.89,16.7,65.85,104.81,104.9,339.05,4.7,72.74,852.91
263,124.66,8.39,74.16,104.81,104.94,336.76,4.74,75.52,853.54
264,101.75,13.73,68.83,104.81,104.94,360.02,4.74,77.11,884.3
265,93.07,9,73.55,104.81,104.98,338.29,4.74,80.98,849.43
266,65.61,5.72,76.83,104.96,105.02,324.56,4.74,99.2,839.58
267,91.58,8.77,73.78,104.92,105.09,328.76,4.74,90.47,839.79
268,93.49,4.27,78.28,105,105.09,326.47,4.74,93.64,837.13
269,143.82,4.8,77.75,105,105.09,326.85,4.74,89.98,837.94
270,190.78,3.13,79.43,105.08,105.13,331.04,4.7,91.02,841.42
271,149.58,10.98,71.57,105.11,105.13,329.9,4.74,73.78,844.5
272,77.91,15.55,67,105.11,105.17,338.67,4.7,94.41,854.96
273,126.32,13.5,69.06,105.19,105.21,336,4.7,76.04,857.21
274,143.82,15.48,67.07,105.5,105.21,337.91,4.7,79.64,856.6
275,106,10.75,71.8,105.31,105.28,337.91,4.74,78.75,859.26
276,128.95,16.17,66.39,105.15,105.32,342.48,4.74,81.93,866.24
277,12.75,11.82,70.73,106.07,105.59,393.95,4.66,70.52,939.07
278,66.76,13.65,68.9,106.3,105.66,391.28,4.7,82.99,938.05
279,81.39,16.7,65.85,106.45,105.74,373.74,4.7,80.83,904.74
280,88.74,4.04,55.64,105.72,107.8,364.98,4.55,77.08,889.78
281,129.1,12.75,46.93,106.03,107.84,364.21,4.51,76.4,886.92
282,155.52,13.27,46.41,106.33,107.84,366.88,4.55,78.14,892.64
283,131.58,17.68,42,106.83,107.88,365.74,4.51,73.17,888.97
284,149.76,10.12,49.56,107.1,107.88,366.12,4.51,82.96,888.15
285,170.18,10.54,49.14,107.21,107.88,368.41,4.55,78.78,892.45
286,55.87,10.75,48.93,107.48,107.91,371.46,4.55,76.74,894.29
287,65.79,4.72,54.96,107.33,107.95,371.46,4.59,81.99,894.49
288,146.76,2.2,57.48,107.36,107.91,371.84,4.55,81.93,893.07
289,141.23,6.3,53.39,107.4,107.91,371.46,4.55,80.86,894.29
290,136,4.3,55.38,107.36,107.95,372.6,4.55,82.51,894.09
291,70.61,5.25,54.43,107.67,107.91,370.31,4.59,83.79,891.43
292,136.01,5.14,54.54,107.71,107.91,371.84,4.55,80.43,891.02
293,68,5.35,54.33,107.71,107.88,371.84,4.59,86.05,893.27
294,44.77,3.88,55.8,107.63,107.91,372.98,4.59,84.92,897.78
295,156,11.59,48.09,107.75,107.95,368.41,4.59,79.36,891.64
296,267.42,9.34,50.34,107.86,107.99,369.93,4.59,83.45,894.3
297,141.14,16.89,42.79,107.82,107.99,366.12,4.59,80.25,891.84
298,122.4,9.02,50.66,107.86,107.99,367.26,4.62,84.98,894.3
299,176.72,14.06,45.62,107.86,108.03,367.64,4.62,84.89,895.94
300,108,14.32,45.36,107.86,107.99,366.12,4.62,84.4,897.99
301,114.75,10.86,48.82,107.86,108.03,367.64,4.62,85.44,899.01
302,174.86,2.68,57.01,107.94,107.99,369.17,4.62,93.64,894.71
303,178.29,10.81,48.87,107.97,108.03,368.79,4.62,90.99,892.25
304,178.14,9.5,50.19,107.9,108.07,369.55,4.62,88.18,891.23
305,126.55,8.76,50.92,107.9,108.1,367.26,4.62,83.57,885.91
306,176.72,13.59,46.09,107.82,108.18,370.31,4.62,86.23,887.75
307,159.65,6.71,52.97,107.78,108.26,367.26,4.62,86.02,882.63
308,118.16,7.14,52.26,109.19,108.22,395.09,4.55,73.2,894.69
309,159.25,4.42,54.98,109.19,108.26,395.09,4.59,76.25,896.12
310,152.03,6.61,52.79,109.31,108.29,392.81,4.59,74.88,891.62
311,100.86,4.33,55.07,109.42,108.37,397.76,4.59,71.65,895.71
312,162.25,4.15,55.25,109.5,108.41,396.24,4.59,67.22,892.85
313,193.52,6.88,52.52,109.5,108.45,395.48,4.59,69.23,893.87
314,187.62,9.6,49.8,109.46,108.45,396.24,4.59,65.76,893.47
315,93.3,6.08,53.32,109.46,108.52,396.24,4.59,69.94,890.8
316,140.87,5.51,53.89,109.46,108.52,392.81,4.59,69.72,888.55
317,148.85,12.19,47.21,109.54,108.56,399.67,4.59,68.14,895.92
318,140.78,6.17,53.23,109.61,108.6,397.76,4.62,66.89,894.9
319,271.55,16.32,43.08,109.61,108.64,397,4.59,65.09,895.3
320,131.01,9.29,50.11,109.69,108.64,397.76,4.59,67.59,893.46
321,207.35,8.24,51.16,109.65,108.64,395.09,4.59,70.42,891.42
322,228.96,17.59,41.81,109.69,108.68,396.24,4.59,65.63,894.89
323,190.08,11.57,47.83,109.77,108.71,394.33,4.59,64.32,890.6
324,138.24,10.17,49.23,109.77,108.71,392.43,4.59,68.62,890.18
325,95.69,4.68,54.72,109.77,108.75,394.71,4.59,69.36,891
326,50.43,11.31,48.09,109.73,108.83,395.86,4.59,79.73,892.03
327,65.47,13.29,46.11,109.73,108.87,398.14,4.59,78.33,894.49
328,53.08,13.02,46.38,109.92,108.98,394.33,4.59,84.34,889.99
329,46.07,10.52,48.88,110.3,109.1,397.38,4.62,84.15,891.22
330,126.31,11.4,48,110.22,109.17,397,4.62,81.35,890.2
331,70.38,16.58,42.82,110.41,109.25,397.76,4.59,81.56,891.83
332,56.35,10.43,48.97,110.57,109.32,394.71,4.59,87.11,889.99
333,40.24,4.59,54.81,110.22,109.67,398.91,4.59,135.9,877.63
334,61.04,10.39,49.01,110.68,109.71,395.86,4.55,82.99,878.25
335,71.72,10.56,48.84,110.91,109.71,401.19,4.55,103.56,882.75
336,60.04,12.89,46.51,110.83,109.74,400.43,4.55,91.17,882.95
337,59.07,2.13,57.27,110.99,109.82,399.29,4.59,109.9,879.06
338,98.2,8.9,50.5,110.83,109.82,405.39,4.59,91.9,882.54
339,83.18,6.7,52.7,110.91,109.86,417.21,4.62,54.19,885.65
340,54.84,11.66,47.74,110.8,109.97,419.88,4.59,78.78,896.51
341,67.85,13.16,46.24,110.83,110.01,417.97,4.62,85.56,898.14
342,79.62,15.66,43.74,110.8,110.05,418.35,4.62,81.44,898.76
343,60.04,12.28,47.12,110.8,110.09,421.4,4.66,81.99,899.58
344,61.04,17.11,42.29,110.91,110.12,418.35,4.66,75.46,897.12
345,50.17,14.96,44.44,111.21,110.16,417.59,4.7,76.44,898.14
346,58.14,10.17,49.23,111.33,110.2,419.88,4.7,77.14,897.73
347,39.81,12.63,46.77,111.52,110.32,417.21,4.7,76.47,890.57
348,47.76,15.44,43.96,111.71,110.32,417.21,4.7,83.94,896.51
349,45.78,15.26,44.14,111.75,110.39,419.49,4.74,80.62,897.12
350,65.4,13.81,45.59,111.86,110.43,413.01,4.78,77.9,894.87
351,55.08,15.26,44.14,111.86,110.51,412.63,4.78,85.98,891.38
352,135.66,3.63,55.77,111.98,110.58,410.73,4.82,88.21,884.21
353,190.07,9.95,49.45,111.94,110.58,409.96,4.82,87.6,891.58
354,241.92,10.21,49.19,111.94,110.58,410.73,4.82,93.58,886.05
355,244.23,5.73,53.67,111.9,110.58,411.49,4.82,89.52,891.17
356,262.66,9.64,49.76,111.9,110.62,407.29,4.82,95.11,885.44
357,231.77,6.66,52.74,111.86,110.66,410.73,4.82,93.37,829.53
358,237.59,8.06,51.34,111.9,110.66,413.39,4.82,94.04,883.8
359,231.77,6.66,52.74,111.86,110.66,410.73,4.82,93.37,829.53
360,215.04,10.04,49.36,111.94,110.66,414.54,4.82,101.3,803.94
361,219.56,11.14,48.26,111.94,110.66,412.63,4.82,100.08,881.35
362,152.62,11.4,48,111.94,110.7,414.16,4.82,89.1,846.12
363,61.03,15.4,44,111.41,110.58,401.19,4.78,72.71,851.09
364,76.3,19.3,40.1,111.44,110.58,402.34,4.78,65.76,850.47
365,38.78,16.14,43.26,111.6,110.62,404.24,4.74,90.77,851.7
366,81.39,16.85,42.55,111.67,110.66,404.63,4.74,85.19,851.09
367,64.41,10.65,48.75,111.71,110.7,400.81,4.74,84.25,846.38
368,83.24,9.6,49.8,111.79,110.73,400.43,4.74,82.38,845.96
369,69.11,9.95,49.45,111.86,110.77,406.15,4.78,60.48,853.74
370,95.06,16.93,42.47,111.9,110.77,404.24,4.74,86.87,849.85
371,64.29,8.9,50.5,111.9,110.81,405.39,4.78,65.45,852.72
372,70.44,12.06,47.34,111.98,110.85,405.01,4.78,95.63,851.69
373,91.07,6.83,52.57,112.02,110.85,405.01,4.78,90.62,853.94
374,113.12,8.37,51.03,112.02,110.89,405.01,4.78,94.19,850.26
375,71.75,12.1,47.3,112.02,110.93,401.96,4.78,94.99,823.03
376,71.74,13.68,45.72,112.05,110.96,406.15,4.78,85.34,850.67
377,130.76,10.48,48.92,112.05,111,400.81,4.78,95.11,847.18
378,76.32,11.75,47.65,112.13,111,403.86,4.82,76.19,848
