ID,Wob,Hookload,TempOut,TempIn,PumpPres,SurfTorq,Rpm,FlowIn
62,3.03,57.27,116.25,115.42,549.12,62.96,102.95,893.89
63,11.17,49.23,114.76,114.13,554.46,140.58,85.04,896.8
64,7.42,52.98,114.49,114.17,504.13,135.66,89.58,859.46
65,10.43,49.97,115.83,114.09,502.61,138.79,88.18,827.52
66,8.98,51.42,116.32,114.47,502.61,146.76,83.94,859.04
67,2.76,57.64,116.36,114.78,470.96,128.76,94.92,824.26
68,8.53,51.87,116.63,114.66,471.73,140.96,79.18,826.31
69,11.09,49.31,116.74,114.51,469.82,135.32,80,823.85
70,10.55,49.85,116.82,114.43,492.31,151.1,61.03,840.46
71,15.66,44.74,115.71,114.01,506.8,170.58,89.95,855.59
72,13.39,47.01,116.06,113.82,494.22,194.75,64.05,873.3
73,5.11,55.29,115.83,113.98,506.04,155.64,78.14,854.36
74,13.31,47.09,116.09,113.94,505.28,149.35,85.68,855.59
75,9.61,53.19,115.98,113.78,508.71,165.63,79.85,863.34
76,13.65,49.15,116.78,115.42,513.28,162.58,66.49,748.44
77,9.65,53.15,116.67,115.42,510.23,171.04,67.65,747.62
78,4.95,57.85,116.55,115.5,514.43,118.12,85.41,846.52
79,5.28,57.52,116.63,115.5,520.53,116.14,83.85,833.49
80,0.78,62.02,116.97,115,543.4,180.08,69.85,791.94
81,9.4,53.4,117.12,114.78,503.37,133.95,87.08,682.13
82,13.11,49.69,116.86,113.44,507.56,126.28,62.8,850.43
83,6.97,55.83,115.87,113.63,507.56,145.84,63.77,842.68
84,19.23,45.07,114.72,112.53,497.65,153.92,67.34,621.56
85,15.4,48.9,114.65,112.56,496.13,140.62,85.19,848.64
86,13.67,50.63,114.68,112.53,497.65,135.89,87.91,845.77
87,11.69,52.61,114.87,112.53,496.13,136.16,90.29,830
88,12.22,52.08,114.84,112.18,523.19,150.07,111.34,725.08
89,9.09,55.21,114.19,112.34,535.78,132.04,104.29,803.69
90,11.19,53.11,114.23,112.3,532.34,132.31,96.24,747.38
91,4.06,60.24,114.76,112.26,532.73,122.43,103.96,895.63
92,11.48,52.82,114.84,112.3,522.43,137.38,85.16,886.42
93,17.79,46.51,114.72,112.03,566.28,148.05,88.43,666.99
94,10.2,54.1,114.46,112.15,564.37,136.96,99.38,708.36
95,12.72,51.58,114.3,112.15,563.23,139.97,95.26,786.37
96,15.48,48.82,114.42,112.18,563.99,147.9,92.76,864.39
97,15.64,48.66,114.65,112.37,562.46,135.66,95.35,850.05
98,15.03,49.27,114.72,113.02,517.09,144.32,102.25,799.91
99,14.9,49.4,115.03,113.17,520.53,132.27,79.18,828.39
100,14.82,49.48,115.03,113.17,519,134.36,86.75,823.47
101,16.06,48.24,115.1,113.21,519,135.85,88.94,731.73
102,18.33,45.97,115.48,113.1,549.88,145,85.22,757.71
103,5.38,58.92,115.6,113.48,555.6,119.42,103.16,883.64
104,14.45,49.85,115.87,113.29,552.17,139.47,76.89,815.66
105,20.55,43.75,116.09,113.44,552.17,145,77.38,873.2
106,20.92,43.38,116.17,113.4,549.12,149.08,74.67,869.3
107,22.12,42.18,116.59,114.01,503.37,182.21,81.84,813.04
108,18.86,45.44,116.44,114.09,551.41,163.68,83.64,863.56
109,17.09,47.21,116.86,114.05,546.07,167.95,80.89,861.3
110,20.88,43.42,116.9,114.09,547.98,167.69,78.75,862.32
111,17.87,46.43,117.01,114.09,544.16,150.26,96.88,859.66
112,17.09,47.21,117.05,114.13,539.97,159.37,87.48,862.32
113,17.01,47.29,117.09,114.17,541.11,160.82,86.32,863.75
114,16.72,47.58,116.86,113.98,556.74,147.4,91.17,869.7
115,14.33,49.97,116.74,114.01,559.03,153.27,86.47,872.37
116,13.75,50.55,116.82,113.98,551.03,146.72,92.06,868.26
117,11.61,52.69,117.09,114.47,535.39,145.95,80.13,836.16
118,19.6,51.4,118.15,115.61,541.11,143.51,97.55,840.42
119,20.51,50.49,118.95,116.57,550.64,146.22,90.47,841.84
120,16.26,54.52,121.05,118.28,665.78,148.32,103.44,961.17
121,19.58,51.2,121.78,118.63,684.46,136.65,95.32,960.39
122,19.16,51.61,122.35,118.89,680.65,136.92,89.83,946.91
123,14.14,56.63,121.17,117.48,625.37,140.08,82.26,895.77
124,20.53,50.24,121.09,117.86,658.92,136.54,90.74,933.14
125,19,51.78,121.36,117.86,661.21,132.61,84.37,932.31
126,17.17,51.78,123.07,119.92,615.08,157.77,97.7,887.68
127,16.14,52.81,123.34,120.15,608.21,138.52,88.52,876.45
128,11.9,57.05,123.38,120.23,609.74,140.2,88.7,878.89
129,15.51,53.44,123.41,120.23,603.26,135.85,89.07,868.46
130,12.81,59.49,120.21,117.94,623.08,94.26,78.88,848.07
131,17.1,55.8,119.53,119.5,615.46,120.91,61,841.68
132,18.51,54.39,123.64,120.23,664.26,223.73,78.63,867.73
133,16.97,55.72,123.91,119.31,626.89,228.76,86.26,860.24
134,16.88,55.8,123.68,119.85,620.79,150.87,77.32,850.83
135,15.89,56.8,123.53,119.92,621.18,144.51,94.62,852.26
136,19.99,52.69,123.45,120.27,619.65,139.85,92.21,850.62
137,25.01,47.67,123.49,119.85,641.38,180.27,60.17,861.87
138,23.98,48.71,123.8,120.3,630.71,156.48,84.76,797.01
139,22.23,50.45,123.76,120.34,631.85,152.63,92.33,710.87
140,24.35,48.34,123.8,120.34,637.95,147.37,99.1,824.43
141,24.61,50.09,122.96,119.62,622.32,162.23,77.69,833.41
142,23.48,51.22,122.08,119.47,603.64,191.17,85.41,836.07
143,23.57,51.13,122.19,119.39,606.31,196.2,86.32,836.69
144,24.11,50.59,122.35,119.35,603.64,193.34,86.87,835.05
145,25.44,49.26,122.96,119.77,602.11,179.73,85.04,838.73
146,22.99,51.71,122.92,119.5,628.04,184.19,85.65,833.33
147,23.48,51.22,122.84,119.31,627.66,116.48,102.09,838.13
148,25.23,49.47,123.07,119.88,617.36,153.05,97.43,827.29
149,23.23,51.47,122.54,120,614.69,157.43,87.24,827.49
150,24.65,50.05,122.58,119.96,620.79,171.99,89.16,832.81
151,22.82,51.88,123.22,120.23,613.17,240.92,82.35,825.86
152,22.16,52.54,123.83,120.69,641,136.84,84.37,828.85
153,22.86,51.84,123.99,120.84,642.14,130.67,88.4,829.26
154,23.73,50.97,124.29,121.45,636.43,141.34,81.53,824.55
155,24.19,50.51,124.33,121.41,639.86,142.33,81.26,826.19
156,21.45,53.25,124.44,121.68,639.86,136.16,90.56,825.78
157,22.45,52.25,124.56,121.87,642.53,134.4,82.32,827.83
158,18.33,56.37,124.63,121.94,642.91,135.7,83.06,832.33
159,21.12,53.58,124.41,122.52,557.89,105.35,102.58,775.31
160,20.04,54.66,124.52,122.97,642.53,110.35,100.93,873.9
161,24.48,50.22,124.98,123.32,642.14,104.55,87.54,865.92
162,25.35,49.35,126.46,124.04,646.34,105.31,111.09,874.11
163,18.38,56.32,127,124.42,640.62,85.41,112.35,869.4
164,18.83,55.87,127.07,123.93,630.71,92.58,75.76,834.63
165,22.2,52.5,127,123.89,636.04,143.17,88.3,852.02
166,23.48,51.22,127,123.89,636.43,140.24,91.66,865.32
167,22.32,52.38,128.07,124.61,639.86,98.11,91.45,841.4
168,18.96,55.74,128.18,125.03,680.27,102.15,86.66,849.37
169,22.2,52.5,128.68,125.18,687.13,106.34,95.84,859.8
170,24.02,50.68,128.87,125.34,683.32,114.65,92.51,863.89
171,20.06,56.74,129.32,125.87,702.76,96.35,90.9,849.92
172,24.42,52.38,128.79,126.14,706.58,99.75,90.41,857.49
173,25.91,50.88,132.98,127.17,710.77,119.57,111.61,870.6
174,26.58,50.22,133.37,127.24,710.01,112.75,124.24,873.87
175,17.11,58.19,131.38,127.62,661.21,88.77,124.76,839.57
176,19.89,55.41,132.37,128.73,727.93,108.02,104.26,856.9
177,21.3,54,132.49,129.15,729.07,100.2,112.8,857.1
178,17.07,59.19,130.89,127.51,706.58,97.27,94.34,842.9
179,27.91,48.35,130.96,127.47,714.2,99.79,91.93,841.95
180,20.93,55.33,132.3,128.81,674.17,96.24,81.96,852.04
181,26.83,49.43,132.45,128.77,674.55,102.38,89.8,854.29
182,23.55,52.71,131.65,128.16,689.98,105.77,82.45,842.19
183,19.31,56.95,131.61,128.12,688.59,104.93,101.33,721.91
184,24.4,54,131.38,128.01,691.12,111.18,79.33,846.09
185,26.23,52.17,131.42,127.89,684.26,96.54,70.09,826.65
186,22.78,55.62,132.95,130.25,710.27,105.47,84,814.11
187,20.95,57.45,117.35,115.54,1062.02,171.23,93.31,708.41
188,17.42,60.98,118.99,116.26,1062.35,170.77,81.59,705.75
189,17.18,61.22,119.68,117.22,1075,178.06,84.7,701.86
190,20.37,58.03,119.83,117.41,1070.44,178.7,101.24,710.66
191,21.49,56.91,121.39,118.44,1071.18,175.58,87.36,700.02
192,23.82,54.58,122.35,118.86,1073.74,159.11,57.28,712.5
193,22.12,56.28,122.35,118.93,1073.99,159.79,54.9,708.82
194,9.95,68.45,122.54,119.24,1103.36,150.07,61.15,724.16
195,21.33,57.07,122.96,119.73,1151.1,155.26,55.11,712.3
196,18.65,52.38,123.87,119.88,1066.85,155.52,51.54,687.13
197,19.81,51.22,125.74,121.41,1125.69,159.72,57.24,709.84
198,18.44,52.59,125.74,121.33,1112.01,161.66,55.69,711.27
199,16.99,53.79,126.01,122.86,1122.99,169.71,55.69,694.09
200,15.74,55.04,126.46,122.97,1098.52,153.01,56.39,698.79
201,20.64,54.16,127.99,124.27,1092.04,160.9,57.92,690
202,21.89,52.92,128.33,124.54,1092.04,161.01,68.87,711.89
203,18.65,56.16,129.44,125.72,1073.33,150.49,54.62,699.61
204,19.73,55.08,129.21,125.45,1101.25,155.3,57.82,694.7
205,22.51,52.3,129.55,125.79,1110.58,160.79,58.89,691.63
206,21.39,53.42,129.86,126.37,1381.74,163.26,55.9,667.25
207,17.69,57.36,131.31,127.24,1499.39,151.67,60.11,717.01
208,19.06,55.99,131.84,127.62,1513.74,154.34,53.49,713.53
209,19.27,55.78,133.75,129.64,1473.56,160.9,51.57,699.81
210,17.65,57.4,133.78,129.68,1492.93,162.04,49.98,697.35
211,13.25,61.81,135.12,130.22,1345.87,144.51,60.23,680.97
212,12.13,62.93,135.27,130.41,1417.61,148.32,69.66,701.86
213,20.14,54.91,135.42,129.03,1442.72,150.22,56.45,697.15
214,23.51,51.55,135.16,129.38,1422.63,149.61,56.27,699.4
215,24.48,53.92,135.27,131.25,1425.5,152.09,50.2,690.41
216,23.99,54.41,135.69,131.55,1444.87,156.4,45.22,694.29
217,24.19,54.21,135.77,131.63,1442,150.95,50.47,695.32
218,25.56,52.84,136.15,132.01,1436.26,152.44,51.39,691.22
219,23.65,54.75,136.64,132.5,1477.15,154.61,48.79,694.09
220,14.06,64.34,136.64,132.58,1439.85,141.46,65.51,702.48
221,22.87,55.53,137.33,133.42,1486.8,144.01,46.63,690.59
222,21.7,56.7,137.48,133.72,1494.02,150.42,52.06,689.77
223,21.74,56.66,137.67,134.03,1488.24,150.61,50.65,692.85
224,21.66,56.74,137.79,134.26,1486.07,151.6,50.35,692.23
225,21.12,57.28,138.36,134.52,1483.52,152.13,49.98,690.59
226,21.79,56.61,137.9,133.69,1441.54,151.37,51.17,686.29
227,20.46,57.94,138.63,134.07,1481.4,151.52,46.6,692.03
228,20.87,57.53,138.66,134.83,1498.07,153.54,52.42,699.6
229,19.38,59.02,138.63,134.68,1492.66,153.27,51.17,692.23
230,20.58,57.82,138.89,134.75,1480.27,147.98,54.32,696.53
231,20.58,57.82,139.05,135.25,1483.92,147.9,52.88,698.37
232,19.75,58.65,139.47,135.4,1500.99,150.49,50.81,694.07
233,19.5,58.9,139.47,135.44,1485.67,149.35,50.47,693.05
234,20.79,57.61,139.47,135.48,1500.99,149.58,50.9,692.23
235,20.04,58.36,139.54,135.48,1501.31,158.54,50.84,694.07
236,18.71,59.69,139.24,135.17,1484.5,156.67,50.75,690.39
237,19.17,59.23,139.05,134.45,1480.92,151.6,52.94,690.81
238,19.21,59.19,139.12,134.45,1475.78,152.51,50.38,692.86
239,19.71,58.69,139.08,134.49,1475.78,151.1,48.61,688.77
240,19.38,59.02,139.12,134.56,1472.84,152.66,55.05,689.59
241,19.83,58.57,139.2,134.64,1477,146.87,58.1,691.63
242,18.21,60.19,136.72,132.73,1508.38,149.2,49.83,692.25
243,22.41,55.99,137.67,133.5,1528.34,148.05,51.72,690
244,20.12,58.28,137.83,133.69,1519.47,146.34,52.73,692.04
245,22.08,56.32,137.98,133.57,1524.2,148.85,53.34,686.31
246,21.74,56.66,138.17,133.8,1539.75,155.1,47.7,682.02
247,26.15,52.25,139.85,135.71,1616.03,157.47,45.32,689.18
248,24.53,53.87,139.96,135.94,1590.85,143.78,53.46,690.2
249,23.11,55.29,140.11,136.01,1587.89,151.22,47.48,689.59
250,23.86,54.54,140.15,136.09,1607.14,151.37,47.42,686.52
251,20.83,57.57,140.23,136.16,1620.47,156.32,44.86,686.31
252,20.21,58.19,140.46,136.28,1585.67,145.5,52.39,694.09
253,22.03,56.37,140.88,136.7,1577.52,145.54,52.7,690.81
254,21.45,56.95,141.1,136.93,1579.74,143.1,55.54,691.43
255,26.85,51.55,142.21,137.88,1616.03,145.84,50.59,0
256,20.62,57.78,142.32,137.99,1583.44,143.29,50.26,0
257,23.86,54.54,142.48,138.3,1584.93,144.35,52,0
258,27.28,55.12,142.71,138.49,1600.48,148.81,49.34,684.68
259,30.19,52.21,142.97,138.72,1606.4,147.17,46.93,685.49
260,25.79,56.61,143.13,138.99,1592.33,140.2,54.19,685.09
261,28.98,53.42,143.62,138.45,1623.43,152.09,44.77,688.97
262,26.57,55.83,144.19,138.79,1612.33,156.74,41.75,686.11
263,30.15,52.25,143.54,138.64,1622.69,152.74,45.93,690
264,30.31,52.09,144.04,139.14,1627.88,153.69,51.69,693.27
265,30.85,51.55,144.5,139.9,1630.84,158.76,47.45,694.91
266,30.52,51.88,145.41,140.09,1610.1,155.87,48.88,701.04
267,29.56,52.84,145.45,140.13,1618.99,159.95,46.35,699.2
268,24.95,57.45,144.99,139.86,1547.9,149.84,72.32,696.34
269,28.98,53.42,145.34,139.79,1589.37,157.47,51.6,685.29
270,25.58,56.82,143.58,138.38,1605.66,147.56,51.05,690.41
271,30.15,52.25,143.54,138.64,1622.69,152.74,45.93,690
272,30.31,52.09,144.04,139.14,1627.88,153.69,51.69,693.27
273,29.36,53.04,144.23,139.48,1629.36,160.02,49.95,692.25
274,32.89,49.51,144.61,139.94,1616.03,152.89,54.86,702.07
275,29.73,52.67,144.8,139.98,1606.4,161.36,45.28,702.07
276,33.76,48.64,145.15,139.98,1598.26,151.79,53.4,705.55
277,28.07,54.33,144.92,139.94,1575.3,160.21,64.05,691.22
278,20.93,61.47,145.15,139.79,1559.75,154.57,66.89,693.47
279,20.93,61.47,145.15,139.79,1559.75,154.57,66.89,693.47
280,30.31,52.09,145.18,139.9,1581.96,162.73,64.9,691.63
281,29.32,53.08,145.26,139.79,1586.41,168.22,53.64,684.68
282,20.84,61.56,145.26,139.25,1660.46,151.22,50.5,702.67
283,22.92,59.48,145.18,139.71,1663.42,153.92,48.4,702.26
284,20.88,61.52,145.3,139.86,1650.83,149.5,43.94,704.31
285,21.42,60.98,145.49,140.62,1655.28,198.99,39,692.93
286,19.8,82.9,127.76,122.13,1646.54,107.79,53.28,695.51
287,19.72,83.48,128.52,123.58,1546.49,97.99,53.89,667.66
288,22.91,80.29,128.03,124.57,1633.84,112.29,49.98,686.5
289,26.19,77.01,130.43,129.11,1651.76,103.1,34.67,705.34
290,26.11,77.09,131.69,130.25,1561.42,150.68,40.46,695.3
291,25.24,77.96,131.73,130.45,1562.17,153.27,42.17,694.69
292,26.11,77.09,131.95,130.83,1566.65,155.94,41.07,692.23
293,25.86,77.34,132.07,130.9,1574.86,151.52,41.68,689.36
294,26.03,77.17,132.22,131.06,1588.3,154.8,34.09,688.34
295,26.53,76.67,132.95,131.21,1571.13,160.98,59.81,689.98
296,20.03,80.37,134.54,123.32,1641.31,108.63,29.45,693.46
297,21.82,78.58,135.45,124.38,1679.39,178.06,37.11,703.17
298,22.48,77.92,135.29,125.37,1669.68,107.26,35.61,696.12
299,22.31,78.09,135.52,126.02,1668.19,128.07,45.13,729.74
300,22.07,78.33,135.02,127.24,1671.18,158.04,45.68,727.37
301,22.4,78,135.36,127.55,1692.08,149.77,43.52,735.35
302,22.11,78.29,135.7,127.97,1711.5,147.44,42.87,736.86
303,21.9,78.5,136.12,128.58,1664.46,127.08,51.39,725.23
304,21.82,78.58,136.73,129,1670.43,119,39.18,728.68
305,21.61,78.79,136.62,129.07,1662.96,114.88,37.84,726.1
306,21.28,79.12,136.4,129.42,1665.2,121.33,43.58,725.45
307,21.53,78.87,136.29,129.8,1659.98,115.91,48.37,724.59
308,21.48,78.92,139.05,130.6,1737.63,125.06,50.47,730.39
309,21.07,79.33,138.01,130.64,1738.37,127.16,42.36,730.17
310,21.73,78.67,139.97,130.86,1737.63,140.73,40.07,726.29
311,22.44,77.96,140.2,131.13,1712.24,118.62,54.62,727.37
312,22.65,77.75,140.7,131.59,1740.61,136.42,40.43,723.28
313,14.38,86.02,140.35,132.85,1716.34,108.25,43.06,727.16
314,17.46,82.94,140.29,135.21,1731.32,118.16,39.88,732.98
315,16.04,84.36,140.1,135.78,1725.33,112.33,48.06,733.41
316,18.79,81.61,140.97,135.63,1728.32,161.47,43.09,728.88
317,19.32,81.08,140.59,136.93,1722.89,155.52,37.35,726.94
318,19.49,80.91,140.36,136.89,1663.61,142.49,43.79,736.21
319,20,107.32,140.8,131.36,1720.77,82.97,0,300.18
320,19.83,96.57,140.73,131.13,1718.9,99.56,44.16,676.07
321,21.57,78.83,140.44,133.99,1677.3,161.74,62.07,715.09
322,21.44,78.96,140.02,133.72,1663.75,168.14,48.12,717.03
323,21.9,78.5,140.61,133.57,1630.63,163.91,58.37,717.67
324,27.88,72.52,140.46,133.57,1644.18,135.28,46.35,715.95
325,28.17,72.23,140.42,133.57,1647.19,132.04,46.26,715.73
326,28.21,72.19,140.3,133.57,1662.25,135.24,42.75,719.18
327,27.96,72.44,140.9,134.94,1666.01,140.16,38.91,720.91
328,27.38,73.02,140.76,134.64,1754.08,155.71,54.9,723.28
329,28.5,71.9,140.84,134.75,1748.81,142.83,56.18,721.77
330,28.59,71.81,141.91,135.82,1743.54,142.45,44.16,724.79
331,28.34,72.06,141.98,135.97,1745.05,148.47,45.44,724.14
332,28.38,72.02,141.94,135.48,1769.89,154.95,49.43,721.77
333,28.67,71.73,142.1,136.05,1752.58,133.03,49.74,725.43
334,29.17,71.23,142.21,136.28,1755.59,142.45,50.9,725
335,28.54,71.86,142.97,137.08,1763.87,147.63,47.57,720.26
336,27.92,72.48,143.24,137.23,1764.62,135.7,32.47,721.77
337,27.8,72.6,141.33,134.64,1340.83,143.48,59.2,734.5
338,28.13,72.27,140.95,134.45,1411.59,146.53,55.47,632.63
339,28.92,71.48,140.95,134.49,1754.83,131.62,53.67,725.23
340,23.56,76.84,143.09,137.57,1776.66,168.83,50.32,730.62
341,24.06,76.34,143.96,138.11,1773.65,159.49,54.01,723.51
342,24.68,75.72,144.04,138.03,1753.33,153.31,36.96,719.42
343,21.28,79.12,143.09,136.7,1829.31,154.91,46.9,739.66
344,22.48,77.92,143.05,136.89,1833.83,143.36,47.79,737.08
345,23.81,76.59,142.93,137.08,1833.08,136.73,51.17,738.59
346,21.78,78.62,143.28,137.19,1843.63,148.32,46.54,733.2
347,23.27,77.13,143.2,137.16,1840.61,158.23,53.49,733.85
348,23.44,76.96,143.24,137,1843.63,165.17,47.18,732.56
349,19.28,81.12,141.68,135.29,1811.88,115.61,46.29,722.41
350,21.15,79.25,142.48,136.7,1856.43,166.43,57.64,726.51
351,16.21,84.19,142.59,136.35,1875.31,122.36,64.72,731.68
352,16.75,83.65,142.74,137.23,1878.34,152.66,51.72,729.96
353,19.16,81.24,141.64,135.97,1789.84,179.54,52.61,722.85
354,18.7,81.7,143.01,137.08,1843.55,175.43,55.47,728.02
355,18.37,82.03,143.81,137.61,1820.76,181.72,53.31,726.94
356,28.64,78.65,143.7,137.69,1791.21,90.6,43.64,720.26
357,27.66,79.63,144.19,138.6,1741.97,106.61,39.7,730.82
358,28.55,78.74,144.27,138.68,1769.24,113.55,38.21,726.94
359,27.79,79.5,146.48,138.95,1845.76,119.04,56.24,728.88
360,27.79,79.5,145.83,140.13,1835.91,130.51,21.06,719.33
361,27.66,79.63,145.98,140.09,1792.73,115.19,39.58,722.34
362,28.42,78.87,146.14,140.09,1805.61,116.71,32.41,716.53
363,29.15,78.14,146.48,140.43,1792.73,128.19,56.66,721.91
364,28,79.29,146.79,140.66,1770.76,116.79,27.86,722.56
365,28.17,79.12,147.93,142.26,1792.73,118.47,54.62,724.28
366,27.66,79.63,149.03,143.41,1838.19,133.37,55.72,722.78
367,30,77.29,149.11,143.14,1840.46,210.88,55.2,723.21
368,27.87,79.42,149.26,143.52,1870.76,130.97,44.37,727.94
369,19.74,87.55,149.45,143.48,1852.58,136.12,48.46,728.38
370,21.1,86.19,149.45,143.41,1811.67,137.91,47.66,731.61
371,19.91,87.38,149.38,143.33,1823.03,117.44,48.27,727.73
372,17.14,90.15,145.22,139.52,1879.1,132.23,49.37,730.1
373,16.72,90.57,145.64,139.79,1879.85,174.17,62.03,727.94
374,17.99,89.3,146.06,140.47,1873.04,139.51,63.59,728.38
375,16.29,91,146.14,141.16,1774.55,134.94,62.61,719.33
376,17.23,90.06,146.86,141.77,1801.82,180.88,89.19,713.95
377,19.31,87.98,148.12,142.15,1809.4,94.56,60.75,724.57
378,19.14,88.15,148.46,142.72,1811.67,104.55,58.56,728.45
379,23.7,83.59,150.83,145.5,1785.91,110,64.96,699.78
380,5.6,101.69,142.29,134.94,1627.57,109.89,59.84,731.04
381,19.85,97.94,143.35,137.99,1739.69,112.94,58.19,712.93
382,19.59,98.2,142.86,138.3,1695.75,113.01,57.61,721.77
383,17.42,100.37,143.7,137.77,1748.03,116.71,58.59,710.13
384,19.64,98.15,143.47,136.24,1728.33,117.36,52.94,712.72
385,22.36,95.43,145.03,141.27,1705.6,130.32,66.18,696.12
386,21,96.79,146.02,142.42,1694.24,157.66,61.76,709.05
387,20.19,97.6,146.79,143.06,1746.51,112.86,57.09,735.78
388,23.38,94.41,151.55,146.27,1781.36,123.35,58.34,733.19
389,24.92,92.87,143.66,128.16,1776.06,108.67,65.57,734.48
390,26.36,91.43,138.93,122.86,1795,102.84,48.95,728.45
391,25.55,92.24,130.66,116.19,1820,135.89,36.93,727.3
392,28.79,89,129.06,115.23,1815.46,117.28,49.28,717.61
393,28.79,89,127.04,113.59,1782.12,128.95,67.22,717.39
394,31.86,85.93,126.58,113.06,1845,130.17,57.61,724.28
395,30.28,87.51,126.35,112.91,1843.49,155.45,48.09,721.27
396,28.41,89.38,124.79,111,1823.03,127.39,43.58,723.64
397,27.9,89.89,123,109.93,1827.58,123.73,42.42,688.1
398,27.26,90.53,120.29,107.27,1836.67,137.38,25.64,713.3
399,28.02,89.77,120.14,107.91,1776.06,124.57,65.73,0
400,28.07,89.72,118.84,106.24,1730.6,128.57,67.98,717.39
401,28.96,88.83,118.34,106.01,1744.24,89.19,44.22,719.55
402,29.13,88.66,118.08,105.82,1750.3,105.05,44.06,725.79
403,28.79,89,117.96,105.85,1776.82,124.11,31.25,732.9
404,28.75,89.04,117.47,105.51,1785.91,95.52,44.71,732.47
405,29.09,88.7,116.48,104.44,1774.55,102.68,57.49,728.59
406,28.02,89.77,116.29,103.95,1765.45,106.76,52.67,726.22
407,28.79,89,115.98,103.8,1799.55,111.38,48.7,723.42
