DENS,GR,SP,DEEP_RES,CAL,Lithology
3.653,130.701,6.533,4.89,9.9,Granitiod
2.581,146.076,0.749,3.046,10.2,Granitiod
2.721,145.221,4.179,2.218,13.983,Granitiod
2.7762,50.4081,160.3125,440.8226,9.0282,Granitiod
2.7486,92.8202,45.8333,6.9186,3.2858,Granitiod
2.214,94.044,2.749,1.439,12.809,Basin Fill
2.4238,143.7144,-67.5,16.5064,11.3445,Granitiod
2.561,168.216,1.15,2.136,14.644,Granitiod
2.005,232.946,3.0,1.143,13.729,Basin Fill
2.6138,143.9182,56.7969,1050.8007,8.7628,Granitiod
2.386,228.215,3.476,2.477,12.702,Granitiod
3.027,131.602,5.707,3.169,10.5,Granitiod
2.199,113.441,3.699,0.584,14.367,Granitiod
,174.338,1.014,1.746,11.087,Granitiod
2.312,159.75,1.025,2.897,11.377,Granitiod
2.6001,91.507,39.375,6.6529,3.2375,Granitiod
2.2454,84.4287,52.8906,80.8211,3.4064,Basin Fill
3.707,202.239,-2.995,59.38,9.0,Granitiod
3.749,156.57,-2.38,36.982,9.8,Granitiod
3.522,151.297,-1.898,33.034,9.9,Granitiod
2.646,136.829,2.406,3.885,13.34,Granitiod
2.6173,149.7974,37.5,1406.5062,9.1006,Granitiod
3.583,152.504,-1.355,60.787,10.1,Granitiod
2.325,101.567,1.626,0.756,14.318,Granitiod
2.4725,136.8382,36.25,349.7531,9.3901,Granitiod
2.3963,169.7726,-61.0156,13.3823,10.5242,Granitiod
3.468,150.273,-3.378,39.229,9.2,Granitiod
4.027,100.8978,27.9688,6.5011,8.8352,Granitiod
3.768,115.816,3.672,32.308,9.8,Granitiod
2.587,261.0364,55.8929,443.4599,10.5724,Granitiod
2.234,161.714,-1.278,1.914,13.068,Granitiod
2.6102,301.0855,49.9219,989.6214,9.2936,Granitiod
2.042,179.362,1.221,1.746,10.847,Granitiod
2.627,68.644,1.544,1.907,9.8,Granitiod
2.797,78.3221,-69.7222,84.6235,9.2212,Granitiod
2.4358,83.6869,35.3125,7.5439,3.3581,Granitiod
2.6449,136.9246,65.7031,840.8028,8.9438,Granitiod
3.705,128.181,5.08,10.964,9.9,Granitiod
3.673,164.072,-2.117,37.813,9.2,Granitiod
2.633,171.2648,134.6875,639.6558,8.8231,Granitiod
2.461,235.011,4.691,3.065,12.78,Granitiod
2.267,171.388,-0.013,3.793,11.093,Granitiod
3.55,154.942,-1.791,35.703,9.9,Granitiod
2.1977,87.4542,51.25,172.188,3.3823,Basin Fill
2.502,136.552,-0.695,4.79,11.3,Granitiod
,76.942,-3.048,0.386,14.777,Basin Fill
2.5745,199.3264,47.1094,1499.7155,8.8352,Granitiod
2.385,158.455,3.531,1.387,12.916,Granitiod
2.041,90.654,-2.487,0.423,14.204,Basin Fill
2.329,181.814,-1.814,2.564,11.293,Granitiod
2.5973,214.882,111.7969,668.7135,8.7869,Granitiod
2.443,90.741,-0.369,0.671,13.92,Basin Fill
2.4258,70.5855,41.875,12.1992,3.3823,Granitiod
2.3987,165.6329,-14.2969,9.3002,10.5965,Granitiod
3.744,104.438,5.294,13.405,9.7,Granitiod
2.377,193.962,0.214,2.863,10.6,Granitiod
2.4143,176.937,-26.25,12.427,10.3311,Granitiod
2.5871,191.0166,70.625,804.5378,8.7146,Granitiod
2.265,141.51,5.294,1.362,14.896,Granitiod
2.225,117.973,1.295,1.123,12.289,Basin Fill
2.6737,86.9123,43.8281,8.7411,3.2737,Granitiod
2.4115,134.609,-65.0,13.0967,10.1864,Granitiod
2.2287,78.749,53.2813,110.457,3.4064,Basin Fill
2.481,84.751,-1.37,0.688,14.144,Basin Fill
2.7364,75.1255,-64.375,27.2418,9.1489,Granitiod
2.5813,293.5202,13.0469,408.7379,9.3419,Granitiod
2.632,132.537,4.652,5.516,13.021,Granitiod
2.6243,168.7527,130.625,776.0297,8.8593,Granitiod
2.279,129.255,5.829,1.186,14.936,Granitiod
2.8961,65.2787,-121.25,120.3977,8.7025,Granitiod
2.298,131.138,-3.556,0.844,12.642,Granitiod
2.4235,138.8901,-51.875,17.936,11.0308,Granitiod
2.063,172.533,0.857,1.932,11.195,Granitiod
2.6467,183.5651,38.5938,1089.0203,8.8352,Granitiod
2.9954,109.4893,24.7656,6.3108,3.2496,Granitiod
2.4145,163.5496,-9.375,11.6413,10.3311,Granitiod
3.628,110.509,4.439,4.843,12.1,Granitiod
2.5977,169.4074,39.375,665.3007,8.8714,Granitiod
2.6478,138.5228,61.0938,641.1198,8.7869,Granitiod
2.5905,206.3468,54.375,577.2164,10.307,Granitiod
,185.48,0.822,1.779,11.03,Granitiod
3.698,116.282,5.829,3.503,11.0,Granitiod
,85.171,-2.316,0.386,13.977,Basin Fill
2.464,235.106,4.866,3.094,12.755,Granitiod
2.7594,89.7109,-88.8889,49.5627,8.8593,Granitiod
3.538,147.2,0.683,30.28,10.0,Granitiod
2.6031,295.3202,36.7188,494.6363,8.8111,Granitiod
1.812,101.42,-6.364,3.454,10.5,Granitiod
2.6158,185.3664,130.7813,750.2305,8.8593,Granitiod
2.475,196.872,2.406,2.023,12.995,Granitiod
2.5688,203.6084,114.0625,168.4971,8.7628,Granitiod
2.3895,174.5116,-49.2969,12.7007,10.2829,Granitiod
2.1937,75.352,56.25,40.8824,3.4064,Granitiod
2.2058,88.4528,63.75,44.9801,3.4305,Basin Fill
2.161,139.144,1.781,1.164,12.106,Basin Fill
2.4319,200.484,-15.625,13.0954,9.7521,Granitiod
2.5812,194.6444,106.875,240.3394,8.7146,Granitiod
2.001,130.322,-2.689,1.779,10.825,Granitiod
2.494,73.115,3.717,3.596,8.2,Granitiod
2.6257,216.6536,107.2656,331.6852,8.8111,Granitiod
2.4396,173.8254,-3.6719,13.0916,10.0175,Granitiod
2.7402,577.4952,159.7656,705.5345,9.0282,Granitiod
2.7598,111.8867,43.75,6.6842,3.3099,Granitiod
2.589,172.01,3.93,2.023,12.915,Granitiod
2.2282,38.5608,60.2083,16.7064,3.4305,Basin Fill
2.6128,249.763,45.9375,1759.2566,8.8593,Granitiod
2.578,221.161,22.8906,368.05,11.2842,Granitiod
2.5831,249.0755,67.7344,1170.5349,8.8835,Granitiod
3.614,132.76,4.651,6.758,10.6,Granitiod
2.198,182.204,-0.611,3.005,10.807,Granitiod
1.856,66.738,1.444,3.483,10.9,Granitiod
2.601,135.368,2.301,4.631,12.556,Granitiod
,107.012,1.069,0.725,14.077,Basin Fill
2.807,58.4569,-88.5156,205.4142,8.9558,Granitiod
2.415,111.2018,41.875,9.8342,3.322,Granitiod
2.256,97.074,1.718,0.876,13.526,Granitiod
2.55,180.319,2.031,2.323,13.409,Granitiod
,79.8,-2.181,0.358,13.429,Basin Fill
2.125,167.361,3.203,1.092,14.286,Granitiod
2.5718,147.2574,56.1719,927.1028,8.7628,Granitiod
2.306,156.591,-1.59,4.146,10.857,Granitiod
2.3299,175.2523,-25.3906,10.6184,11.3928,Granitiod
2.8106,96.4202,38.125,95.7391,8.7869,Granitiod
2.427,135.585,0.904,2.644,12.5,Granitiod
2.324,199.202,1.948,1.714,12.024,Granitiod
2.501,135.286,1.768,2.594,12.125,Granitiod
2.431,172.9123,-32.7344,11.222,10.9585,Granitiod
,118.247,4.963,1.208,14.989,Granitiod
2.357,202.703,2.877,1.426,12.638,Basin Fill
2.54,220.537,1.502,2.618,10.1,Granitiod
2.565,135.286,-0.87,4.109,11.859,Granitiod
2.6276,152.5376,37.5,1419.5217,8.9196,Granitiod
2.6062,178.9428,137.1875,268.1154,8.8593,Granitiod
2.4993,264.5508,106.1719,1377.4519,8.618,Granitiod
2.636,177.49,4.296,5.077,12.941,Granitiod
,139.427,4.465,1.133,14.988,Granitiod
2.5626,200.8384,117.5,1108.8279,8.9076,Granitiod
2.6241,86.5698,51.25,7.0587,3.3099,Granitiod
2.1471,62.3651,57.1875,70.6803,3.4305,Basin Fill
2.5982,125.6769,16.3194,135.4048,9.0162,Granitiod
2.4952,293.2062,38.3929,997.1048,11.8512,Granitiod
2.5951,170.8348,153.125,1113.6902,8.7387,Granitiod
2.6221,173.8343,134.9219,484.9874,8.7387,Granitiod
,109.973,2.112,0.665,14.249,Granitiod
2.6117,131.2143,37.5,346.3871,8.9076,Granitiod
2.201,100.536,-1.38,0.542,13.936,Basin Fill
3.272,117.845,5.829,3.864,11.2,Granitiod
2.374,150.7625,-24.6875,12.6078,10.2346,Granitiod
2.321,58.4,1.979,2.421,12.0,Granitiod
2.45,169.681,0.591,2.739,11.346,Granitiod
2.7201,90.7714,55.9375,879.3019,10.6086,Granitiod
2.623,132.565,4.809,6.047,12.889,Granitiod
2.6446,136.9539,72.8906,1197.7813,8.7628,Granitiod
2.388,89.3094,53.125,8.2183,3.3581,Granitiod
3.376,197.451,4.468,26.185,9.7,Granitiod
2.313,144.681,-1.457,1.176,12.356,Granitiod
2.4911,142.5436,-62.9688,12.6011,9.6435,Granitiod
2.343,103.321,1.627,0.785,14.291,Granitiod
2.627,142.181,2.193,3.817,13.21,Granitiod
2.1342,45.9534,60.4688,28.0103,3.4305,Basin Fill
2.7791,74.8981,38.75,338.1736,8.7146,Granitiod
2.279,170.815,2.861,0.829,14.446,Granitiod
2.5859,262.1237,15.625,716.3586,9.3901,Granitiod
2.5403,162.1612,104.375,918.2742,8.6663,Granitiod
2.583,219.5348,110.4688,372.0939,8.7387,Granitiod
2.2241,81.4887,47.8906,50.8403,3.4185,Basin Fill
2.1245,69.3577,51.25,85.4906,3.3823,Granitiod
3.576,178.822,1.393,6.613,11.9,Granitiod
2.131,154.599,-2.501,3.817,10.714,Granitiod
2.5934,233.6929,112.5,1950.0,8.7869,Granitiod
2.6602,124.5951,62.1875,111.8371,8.9076,Granitiod
3.647,148.176,4.545,21.058,11.7,Granitiod
2.387,111.314,0.615,1.265,12.182,Granitiod
2.6098,204.3204,98.75,1265.17,8.9076,Granitiod
2.6062,184.1694,107.5781,783.2792,8.6663,Granitiod
2.359,157.067,-1.729,4.464,11.356,Granitiod
2.4476,180.4763,-51.875,15.393,10.2105,Granitiod
2.56,94.648,-1.003,7.348,10.4,Granitiod
2.707,101.2974,43.9844,6.583,3.2858,Granitiod
2.5322,172.6332,71.25,785.5429,8.7869,Granitiod
2.8175,69.6459,-98.1944,314.3012,8.8352,Granitiod
3.538,186.747,4.866,28.167,11.1,Granitiod
2.34,163.393,1.093,1.811,12.941,Granitiod
3.114,99.008,4.248,6.04,11.6,Granitiod
2.0754,179.7726,103.9844,948.7792,16.5803,Granitiod
2.5383,105.6931,41.25,8.8817,3.3099,Granitiod
2.567,170.745,2.331,2.138,14.404,Granitiod
2.574,281.3628,53.125,857.3438,8.9076,Granitiod
2.598,220.4772,47.4219,1120.4089,9.6073,Granitiod
2.7288,102.4969,43.0469,6.6743,3.2375,Granitiod
3.708,208.859,-2.995,47.985,8.9,Granitiod
2.3386,317.5549,9.375,292.4841,9.6676,Granitiod
2.4132,153.8448,-5.7813,9.4382,10.3311,Granitiod
2.332,156.464,-1.364,1.652,12.609,Granitiod
2.1601,83.6582,56.25,125.5477,3.4064,Basin Fill
2.3919,166.3763,-25.625,11.2053,10.0175,Granitiod
2.436,131.043,-1.785,1.387,12.432,Granitiod
2.4415,181.2769,-46.3889,16.3844,10.6448,Granitiod
2.658,126.2504,68.0469,683.1758,8.9558,Granitiod
2.5479,201.4951,111.5625,1569.7516,8.618,Granitiod
2.656,138.298,3.048,4.588,13.846,Granitiod
,113.211,4.572,1.072,14.949,Granitiod
2.5919,87.5112,48.75,6.4479,3.3461,Granitiod
2.413,166.445,0.2,3.061,11.26,Granitiod
2.432,165.104,-2.93,1.413,11.066,Granitiod
2.066,93.493,-3.476,5.244,10.8,Granitiod
2.4191,163.807,-28.3594,10.0657,10.8861,Granitiod
2.6265,214.0272,115.0,341.7762,8.7508,Granitiod
2.5664,236.5762,117.2656,1099.0289,8.7869,Granitiod
2.5926,169.1202,36.6406,532.1675,9.2695,Granitiod
2.9136,69.018,-75.0,213.3492,9.1006,Granitiod
2.236,118.327,2.29,3.92,10.8,Granitiod
2.869,180.489,3.472,13.808,12.8,Granitiod
3.676,157.769,-4.094,52.011,8.6,Granitiod
2.174,74.7811,59.5313,92.0233,3.4064,Basin Fill
2.3677,23.5762,61.0938,47.0176,3.4788,Basin Fill
2.5848,125.4498,67.5,1685.7825,8.7508,Granitiod
2.506,164.362,0.802,2.178,14.324,Granitiod
2.5651,191.8998,67.7344,664.9069,8.8352,Granitiod
2.507,176.371,1.23,1.661,14.612,Granitiod
2.5692,89.711,-72.5,7.0269,9.7521,Granitiod
2.684,165.131,1.551,3.242,12.7,Granitiod
2.459,103.777,-0.213,0.671,12.44,Basin Fill
2.6368,100.0983,50.625,7.058,3.334,Granitiod
2.607,167.3828,135.1563,562.6131,8.7628,Granitiod
3.47,157.924,-1.684,83.767,9.8,Granitiod
2.5557,86.1122,53.9063,7.013,3.322,Granitiod
2.8077,72.5574,-79.375,133.6456,8.9076,Granitiod
2.1985,84.3712,56.9531,131.383,3.4064,Basin Fill
,82.201,-1.217,0.408,14.258,Basin Fill
2.2732,84.9137,51.875,6.6807,3.3581,Granitiod
2.26,162.051,-0.333,3.047,11.18,Granitiod
2.8469,73.9839,-73.125,103.5683,8.9076,Granitiod
2.334,139.119,1.016,2.548,12.3,Granitiod
2.394,127.223,-0.606,3.033,11.514,Granitiod
2.6475,173.1496,130.7813,577.9701,8.8111,Granitiod
3.663,160.543,-2.334,35.755,9.0,Granitiod
2.5092,228.4409,121.4063,1591.3474,9.3901,Granitiod
2.1714,89.1668,58.125,80.8282,3.4305,Basin Fill
,82.065,-1.337,0.477,14.168,Basin Fill
2.6199,164.3284,124.4531,201.839,8.8352,Granitiod
2.671,137.678,3.119,5.992,12.939,Granitiod
2.462,200.332,3.583,2.259,13.051,Granitiod
2.4483,83.6009,54.9306,6.8084,3.3581,Granitiod
2.669,133.156,4.332,4.808,13.301,Granitiod
2.1366,88.3672,52.8125,41.9173,3.4305,Basin Fill
3.899,164.714,3.13,17.318,10.6,Granitiod
3.434,152.432,-1.15,48.809,10.0,Granitiod
3.724,156.998,0.267,23.426,9.4,Granitiod
3.6,160.874,-3.075,46.744,8.9,Granitiod
2.401,207.07,2.434,1.808,12.051,Granitiod
2.5608,140.8669,108.125,301.8318,8.8593,Granitiod
2.484,208.553,3.904,2.549,12.68,Granitiod
2.183,233.991,2.783,2.127,11.3,Granitiod
2.1554,96.3594,55.0781,76.8159,3.4064,Basin Fill
2.533,176.815,3.257,2.844,13.488,Granitiod
2.335,148.786,0.326,2.018,12.453,Granitiod
2.089,81.404,-3.178,0.46,14.217,Basin Fill
2.6105,161.499,159.6875,125.5257,9.1489,Granitiod
2.513,187.739,1.123,7.788,12.34,Granitiod
2.6251,99.1854,41.25,6.8771,3.2737,Granitiod
2.252,107.434,2.686,1.452,13.966,Granitiod
2.4988,200.267,118.6607,113.2509,9.0041,Granitiod
2.5839,88.7098,49.0972,6.6956,3.3099,Granitiod
2.107,97.096,-1.92,0.464,14.149,Basin Fill
3.573,161.593,1.289,28.827,9.9,Granitiod
2.5797,202.9797,53.2031,192.7065,8.9076,Granitiod
2.5615,173.6057,64.6875,408.4166,8.98,Granitiod
,83.174,-0.864,0.528,14.141,Basin Fill
2.447,68.965,2.812,2.454,8.2,Granitiod
2.4927,267.9187,103.125,282.8583,9.2454,Granitiod
2.416,132.245,-0.749,5.172,11.642,Granitiod
2.2087,82.4873,65.625,60.2929,3.4305,Basin Fill
3.716,151.6,4.225,14.314,11.6,Granitiod
2.208,86.1127,63.75,78.9026,3.4305,Basin Fill
,153.381,-0.95,4.423,10.231,Granitiod
2.62,187.643,3.743,2.978,13.34,Granitiod
2.5484,163.4132,30.4688,434.0147,9.2454,Granitiod
,125.111,4.583,0.876,14.908,Granitiod
3.612,210.434,-3.422,42.365,8.9,Granitiod
3.368,137.235,6.17,7.066,10.2,Granitiod
2.6719,93.534,45.0,6.6738,3.2858,Granitiod
2.599,184.769,2.115,1.878,13.633,Granitiod
2.266,83.6295,49.5139,59.4665,3.4185,Basin Fill
3.783,156.541,0.039,31.015,10.0,Granitiod
2.3524,29.6842,63.75,66.911,3.4788,Basin Fill
3.747,157.6,4.403,6.72,10.8,Granitiod
2.5984,166.58,172.6563,1808.8062,9.1489,Granitiod
,87.202,-0.882,0.397,14.364,Basin Fill
3.627,112.382,4.866,6.682,12.9,Granitiod
2.5595,231.0967,48.125,1482.9784,9.5228,Granitiod
2.1173,70.2144,50.625,76.0208,3.3823,Granitiod
2.5127,92.0212,43.125,7.2756,3.3823,Granitiod
2.4288,167.2322,-20.625,13.2621,10.5242,Granitiod
2.691,70.456,3.298,7.427,9.6,Granitiod
3.759,108.995,5.214,17.574,9.7,Granitiod
3.672,159.627,-0.321,80.779,9.2,Granitiod
2.5883,173.432,38.5938,189.4358,9.4143,Granitiod
2.6356,138.4378,66.875,874.4504,8.8593,Granitiod
,100.543,-1.547,0.349,14.311,Basin Fill
2.5998,171.6952,110.0,422.1638,8.8111,Granitiod
2.361,132.65,3.388,8.738,13.252,Granitiod
2.0699,63.5928,74.9219,82.1299,3.4305,Basin Fill
3.634,138.167,5.113,12.475,10.3,Granitiod
2.5728,301.8008,48.6719,1761.0416,8.8593,Granitiod
3.421,119.645,4.709,5.608,10.3,Granitiod
2.224,131.771,4.833,1.082,14.935,Granitiod
2.6077,175.4061,52.1094,925.4768,9.4867,Granitiod
3.5,141.973,5.219,11.792,10.1,Granitiod
2.221,130.435,1.667,7.105,11.5,Granitiod
2.4675,159.4978,-53.75,18.3478,10.862,Granitiod
2.322,130.361,2.66,3.322,10.6,Granitiod
2.7319,58.7162,111.875,130.7502,8.6422,Granitiod
3.776,179.769,5.851,10.262,10.1,Granitiod
2.1737,81.8601,52.3438,136.5761,3.4064,Basin Fill
2.173,252.48,3.705,4.692,9.9,Granitiod
2.578,173.705,3.313,2.986,13.048,Granitiod
2.148,129.897,3.3,1.73,13.075,Basin Fill
2.351,151.883,-0.267,1.455,12.817,Granitiod
2.312,160.465,0.16,2.198,13.447,Granitiod
2.5692,298.3442,68.0469,956.258,8.9317,Granitiod
2.374,164.955,0.204,1.862,12.322,Granitiod
2.208,148.085,3.199,0.799,14.34,Granitiod
2.635,132.847,-1.203,4.874,12.125,Granitiod
2.596,178.723,2.182,2.329,13.899,Granitiod
